PAS,20,SDN,ME/BE,P,NY,WHITE,2009
SRF,19,SDN,CHEVR,P,NY,BLK,2009
PAS,40,SDN,ME/BE,P,NY,WHITE,2010
PAS,46,VAN,HONDA,P,NY,GREY,2005
PAS,46,SDN,JEEP,P,NY,BLK,2010
PAS,40,SDN,ROVER,X,NY,WHITE,2004
PAS,46,SUBN,FORD,P,NY,BLACK,2014
PAS,14,SUBN,CHEVR,P,NY,BURG,2003
PAS,46,SDN,BMW,P,NY,BLACK,2006
PAS,46,SUBN,FORD,P,NY,BLACK,1997
PAS,40,SUBN,ROVER,P,NY,BK,2013
PAS,46,SDN,BMW,P,NY,WH,2003
PAS,40,SDN,FORD,P,NY,GRY,2012
PAS,40,SUBN,HONDA,P,NY,GRY,2007
PAS,40,SDN,TOYOT,P,NY,BLACK,2012
PAS,40,SDN,MITSU,P,NY,BLK,1999
PAS,40,SDN,TOYOT,P,NY,BLK,2011
PAS,40,SDN,LINCO,P,NY,GRY,1998
PAS,46,SUBN,FORD,P,NY,TN,2004
SRF,46,SDN,TOYOT,P,NY,GY,2011
PAS,46,SUBN,CHEVR,P,NY,BLK,2003
PAS,40,SDN,TOYOT,P,NY,SIL,2010
PAS,19,SUBN,MITSU,P,NY,SIL,2001
PAS,40,SDN,AUDI,X,NY,BK,2012
PAS,40,SUBN,NISSA,P,NY,BK,2014
PAS,20,SDN,CADIL,P,NY,WHITE,2008
PAS,40,SUBN,PORSC,P,NY,BK,2014
PAS,40,SDN,DODGE,P,NY,BK,2014
PAS,46,VAN,HONDA,P,NY,BLUE,1999
PAS,46,SUBN,ME/BE,P,NY,BLK,2010
PAS,46,SDN,HONDA,P,NY,BLK,2005
PAS,46,P-U,DODGE,P,NY,BLK,2004
PAS,46,SUBN,JEEP,P,NY,BLK,2011
PAS,46,SDN,HONDA,P,NY,WH,2011
COM,45,VAN,DODGE,P,BX,WH,2008
PAS,63,SUBN,HONDA,X,NY,BLK,2005
PAS,14,SDN,TOYOT,B,K,RED,2009
PAS,20,SUBN,HONDA,X,Q,TAN,2006
PAS,67,SDN,TOYOT,P,Q,SILVE,2002
PAS,46,SDN,HONDA,X,Q,GR,1996
PAS,20,SDN,FORD,P,NY,WH,2013
COM,20,VAN,FORD,P,NY,GR,1998
PAS,67,SUBN,HONDA,X,NY,GREY,2011
PAS,71,SUBN,GMC,X,NY,BLUE,2013
SRN,17,SUBN,FORD,X,NY,BLUE,2008
PAS,17,SUBN,ACURA,X,NY,SILVE,2011
PAS,17,SUBN,MAZDA,X,K,BLACK,2010
PAS,17,SUBN,ME/BE,X,K,RED,2002
PAS,17,SDN,NISSA,X,K,GRAY,2010
PAS,46,SDN,TOYOT,X,K,GREY,2013
PAS,17,SDN,JEEP,X,Q,WHITE,2012
PAS,17,SDN,TOYOT,X,Q,BLACK,2013
PAS,40,SDN,NISSA,X,Q,BLK,2007
PAS,19,SDN,ME/BE,X,K,SILVE,2010
PAS,17,SUBN,SUBAR,X,K,WHITE,1999
PAS,17,P-U,FORD,X,K,BLACK,2001
SRF,17,SUBN,TOYOT,X,K,GRAY,2014
COM,17,SUBN,TOYOT,X,K,GRAY,2009
PAS,17,SDN,ME/BE,X,K,GRAY,2013
PAS,40,SDN,NISSA,X,K,BLACK,1997
PAS,67,SUBN,SUBAR,X,K,WHITE,1999
PAS,19,SDN,CHEVR,X,K,WHITE,2007
PAS,17,SDN,CHEVR,X,K,WHITE,2014
PAS,19,SUBN,TOYOT,X,K,BLUE,2013
PAS,17,SUBN,CHRYS,X,K,BLUE,2013
PAS,17,SDN,HYUND,X,K,GRAY,2013
SRF,67,SDN,AUDI,X,K,GRAY,2011
PAS,20,VAN,FORD,P,K,BLK,2008
PAS,71,VAN,FORD,P,K,BLK,2008
PAS,37,SUBN,NISSA,P,K,BLK,2011
PAS,21,SDN,HONDA,P,NY,BLACK,2001
PAS,98,SUBN,TOYOT,P,NY,GOLD,2004
PAS,24,SUBN,FORD,P,NY,SILVE,2002
PAS,24,SDN,NISSA,P,NY,BLACK,1998
PAS,46,SDN,NISSA,P,NY,SILVE,2004
PAS,24,SUBN,MAZDA,P,NY,WHITE,1997
PAS,20,SUBN,FORD,X,BX,BLK,2011
PAS,24,SUBN,DODGE,P,BX,SILVE,1998
PAS,24,SDN,VOLKS,P,BX,BLACK,1998
PAS,20,SUBN,ACURA,P,BX,RED,2004
OMT,17,SUBN,TOYOT,X,NY,BLACK,2014
OMS,40,SDN,NISSA,P,K,RED,2014
OMS,46,SDN,NISSA,X,NY,GRAY,2014
PAS,17,SDN,NISSA,P,NY,BLACK,2013
PAS,46,SUBN,JEEP,P,NY,GY,2011
PAS,40,SUBN,CHEVR,P,NY,BLUE,2003
PAS,24,SUBN,JEEP,X,NY,BLK,2014
PAS,46,VAN,DODGE,X,NY,BLK,2001
PAS,46,SDN,TOYOT,X,NY,GRAY,2007
PAS,98,SUBN,NISSA,P,K,WHITE,2006
PAS,21,SDN,TOYOT,X,Q,BLK,2014
PAS,20,SUBN,KIA,X,Q,WHT,2006
PAS,20,SUBN,CHEVR,X,Q,WHT,1995
PAS,20,SUBN,NISSA,X,Q,WHT,2010
PAS,20,SUBN,CHEVR,X,Q,RED,2013
PAS,20,SUBN,NISSA,X,Q,BLK,2010
OMT,40,SDN,LINCO,X,NY,BLACK,2005
PAS,46,SUBN,FORD,P,NY,TAN,2005
COM,46,DELV,FORD,X,BX,WHITE,2008
PAS,20,SUBN,JEEP,P,NY,BLK,2010
COM,40,TAXI,TOYOT,P,NY,GREY,2010
PAS,67,SDN,KIA,P,NY,BK,2007
PAS,40,SDN,KIA,P,NY,BK,2007
PAS,51,SUBN,ROVER,P,NY,WHITE,2010
PAS,51,SDN,DODGE,P,NY,WHITE,2013
PAS,46,SDN,TOYOT,P,K,BLK,2009
PAS,53,SDN,HONDA,P,NY,GR,1998
PAS,21,SUBN,LINCO,X,Q,BLK,2006
OMT,46,SUBN,FORD,X,Q,GR,2010
OMT,20,SDN,LINCO,X,Q,BLK,2007
PAS,20,SDN,TOYOT,X,Q,BLACK,2002
PAS,24,SDN,ACURA,P,BX,WHITE,2010
PAS,24,SDN,HONDA,P,BX,BLUE,2004
SRF,9,SDN,LINCO,X,Q,BLK,2011
PAS,71,SDN,PONTI,X,R,TAN,1996
PAS,20,SUBN,LA RO,X,Q,BLK,2004
PAS,71,SDN,TOYOT,X,R,TAN,2006
PAS,71,SUBN,DODGE,X,R,BLACK,2013
PAS,68,SDN,NISSA,X,R,WHITE,2012
PAS,19,SDN,HONDA,X,R,WHITE,2013
PAS,71,SUBN,JEEP,X,R,BLACK,1999
PAS,71,P-U,TOYOT,X,R,GRAY,2008
PAS,71,SUBN,FORD,X,R,WHITE,2013
PAS,71,SDN,VOLKS,X,R,SILVE,2013
PAS,71,SDN,DODGE,X,R,BLACK,2013
PAS,71,SDN,HONDA,X,R,BLK,2008
PAS,74,SUBN,JEEP,X,R,WHITE,2014
PAS,71,SUBN,JEEP,X,R,WHITE,2014
PAS,71,SDN,PONTI,X,R,SILVE,2005
PAS,71,SUBN,JEEP,X,R,BLACK,2012
PAS,71,SDN,CADIL,X,R,BLUE,2003
PAS,71,SDN,NISSA,X,R,BLACK,2013
PAS,71,SUBN,FORD,X,R,BLACK,2008
PAS,71,P-U,GMC,X,R,SILVE,2008
PAS,71,SDN,FORD,X,R,BLACK,2013
PAS,71,SDN,FORD,X,R,GREY,2007
PAS,71,P-U,DODGE,X,R,SILVE,2004
PAS,71,SDN,CHEVR,X,R,BLACK,2013
PAS,71,SDN,LEXUS,X,R,RED,1995
SRF,20,SDN,LINCO,X,Q,BLK,2003
OMT,20,SDN,LINCO,X,Q,BLK,2005
OMT,19,SDN,LINCO,X,Q,SILV,2005
OMT,20,SDN,LINCO,X,Q,GREEN,2005
PAS,19,SUBN,NISSA,X,Q,GRAY,1999
SRF,14,SDN,LINCO,X,Q,GRN,2005
SRF,19,SUBN,FORD,X,Q,GR,2008
SRF,19,SDN,LINCO,X,Q,BK,2003
SRF,19,SDN,MERCU,X,Q,TAN,2004
SRF,46,SDN,MERCU,X,Q,TAN,2004
SRF,20,SUBN,TOYOT,X,Q,BLK,2007
SRF,19,SUBN,FORD,X,Q,GR,2010
SRF,40,SUBN,FORD,X,Q,GR,2010
PAS,14,SDN,HONDA,P,NY,GRAY,2002
PAS,24,SUBN,HONDA,P,BX,GRY,2014
PAS,24,SDN,TOYOT,P,BX,BLACK,2011
PAS,20,SUBN,FORD,P,BX,BLUE,1999
PAS,20,SUBN,FORD,P,BX,BLACK,2007
PAS,20,SDN,HONDA,P,BX,BLACK,1991
PAS,20,SDN,HYUND,P,BX,WH,2013
PAS,63,SUBN,SUBAR,P,BX,BLUE,2001
PAS,63,SUBN,DODGE,X,BX,GRAY,2012
PAS,19,SDN,HYUND,P,BX,RED,2013
PAS,71,SDN,ME/BE,P,BX,BLACK,2003
PAS,71,SUBN,FORD,P,BX,GRAY,1996
PAS,46,SDN,DODGE,P,BX,GREY,2009
PAS,51,MOTO,HONDA,P,BX,RED,2014
PAS,46,P-U,DODGE,P,BX,WHITE,2003
PAS,67,SDN,BUICK,X,K,BLUE,2003
PAS,97,SUBN,TOYOT,X,K,GRAY,2014
PAS,45,SDN,TOYOT,P,K,TAN,2004
HIS,74,SUBN,ME/BE,P,K,BLUE,1985
PAS,20,SDN,BMW,P,Q,GREEN,1998
SRF,14,SDN,LINCO,P,Q,BK,2005
SRF,14,TAXI,LINCO,P,Q,SIL,2003
PAS,14,TAXI,MERCU,P,Q,SIL,2002
SRF,67,TAXI,LINCO,P,Q,GY,2006
PAS,14,SDN,HONDA,P,Q,BLUE,2011
COM,14,VAN,MERCU,P,Q,BROWN,1996
PAS,40,SDN,VOLKS,X,Q,BLUE,2002
COM,14,DELV,MERCU,P,Q,BR,1996
SRF,19,TAXI,FORD,P,Q,GRN,2006
COM,14,DELV,MERCU,P,Q,BR,1996
PAS,16,SDN,ME/BE,P,Q,GY,1996
SRF,19,TAXI,TOYOT,P,Q,GY,2008
PAS,46,SDN,ME/BE,P,Q,TN,2008
PAS,67,SUBN,GMC,P,Q,GR,2002
SRF,53,SDN,TOYOT,P,NY,GR,2011
SRF,53,VAN,TOYOT,P,NY,GR,2014
SRF,53,SDN,FORD,P,NY,GR,2006
SRF,53,SDN,TOYOT,P,NY,GR,2007
PAS,46,SDN,TOYOT,P,NY,RED,1998
PAS,46,SUBN,HONDA,P,BX,BK,2010
OMS,40,SUBN,TOYOT,P,BX,RED,2015
COM,20,VAN,CHEVR,P,BX,WHITE,2002
PAS,71,SDN,HONDA,P,BX,SILVE,2003
PAS,71,SDN,HONDA,P,BX,GREEN,2013
PAS,67,SDN,HONDA,P,NY,RED,2013
PAS,20,SUBN,NISSA,P,NY,BLACK,2006
PAS,71,SDN,HONDA,P,NY,SILV,2005
PAS,20,SUBN,FORD,P,NY,GRY,2003
SRF,24,SDN,AUDI,P,NY,SILVE,2001
PAS,24,VAN,FORD,P,NY,BLK,1999
PAS,46,SUBN,MERCU,P,K,GY,2013
SRF,46,SUBN,CHEVR,P,K,BLK,2011
SRF,46,SDN,HYUND,P,K,GY,2006
PAS,19,SDN,BMW,P,K,GY,2013
PAS,40,SDN,HONDA,P,K,GY,2006
PAS,27,SUBN,NISSA,P,K,BK,2006
PAS,67,SUBN,TOYOT,P,K,GY,2013
PAS,46,SUBN,HYUND,P,K,BK,2013
PAS,40,SDN,HONDA,P,K,GRY,2013
PAS,46,SUBN,DODGE,P,K,WHITE,2002
SRF,46,SUBN,FORD,P,K,BLK,2011
PAS,19,SUBN,JEEP,P,K,BLK,2014
PAS,71,VAN,FORD,P,BX,WHT,2004
PAS,46,VAN,FORD,P,BX,WHT,2004
PAS,46,VAN,CHEVR,P,NY,WHITE,2009
PAS,46,SDN,DODGE,P,Q,BLK,2014
PAS,98,SUBN,NISSA,P,R,GY,2012
PAS,78,SUBN,FORD,P,R,WH,2005
PAS,19,SUBN,MAZDA,P,R,BLUE,2007
PAS,17,SUBN,CHRYS,P,R,BL,2010
PAS,17,P-U,DODGE,P,R,BLK,2004
